pm_id,p_id,metric_name,metric_value
15,15,Dribbling / Reflexes,87
15,15,Defense / Speed,65
15,15,Physical / Positioning,78
16,16,Pace / Diving,77
16,16,Shooting / Handling,92
16,16,Passing / Kicking,82
16,16,Dribbling / Reflexes,88
16,16,Defense / Speed,45
16,16,Physical / Positioning,85
17,17,Pace / Diving,73
17,17,Shooting / Handling,48
17,17,Passing / Kicking,75
17,17,Dribbling / Reflexes,70
17,17,Defense / Speed,94
17,17,Physical / Positioning,83
18,18,Pace / Diving,93
18,18,Shooting / Handling,90
18,18,Passing / Kicking,82
18,18,Dribbling / Reflexes,89
18,18,Defense / Speed,51
18,18,Physical / Positioning,78
19,19,Pace / Diving,89
19,19,Shooting / Handling,64
19,19,Passing / Kicking,80
19,19,Dribbling / Reflexes,84
19,19,Defense / Speed,88
19,19,Physical / Positioning,85
20,20,Pace / Diving,90
20,20,Shooting / Handling,56
20,20,Passing / Kicking,83
20,20,Dribbling / Reflexes,85
20,20,Defense / Speed,88
20,20,Physical / Positioning,83
21,21,Pace / Diving,84
21,21,Shooting / Handling,92
21,21,Passing / Kicking,74
21,21,Dribbling / Reflexes,87
21,21,Defense / Speed,37
21,21,Physical / Positioning,73
22,22,Pace / Diving,92
22,22,Shooting / Handling,92
22,22,Passing / Kicking,84
22,22,Dribbling / Reflexes,91
22,22,Defense / Speed,44
22,22,Physical / Positioning,77
23,23,Pace / Diving,89
23,23,Shooting / Handling,92
23,23,Passing / Kicking,91
23,23,Dribbling / Reflexes,91
23,23,Defense / Speed,62
23,23,Physical / Positioning,71
24,24,Pace / Diving,84
24,24,Shooting / Handling,82
24,24,Passing / Kicking,90
24,24,Dribbling / Reflexes,91
24,24,Defense / Speed,38
24,24,Physical / Positioning,60
25,25,Pace / Diving,70
25,25,Shooting / Handling,94
25,25,Passing / Kicking,86
25,25,Dribbling / Reflexes,85
25,25,Defense / Speed,50
25,25,Physical / Positioning,84
26,26,Pace / Diving,80
26,26,Shooting / Handling,87
26,26,Passing / Kicking,90
26,26,Dribbling / Reflexes,94
26,26,Defense / Speed,33
26,26,Physical / Positioning,64
27,27,Pace / Diving,79
27,27,Shooting / Handling,88
27,27,Passing / Kicking,83
27,27,Dribbling / Reflexes,87
27,27,Defense / Speed,39
27,27,Physical / Positioning,78
28,28,Pace / Diving,85
28,28,Shooting / Handling,89
28,28,Passing / Kicking,76
28,28,Dribbling / Reflexes,93
28,28,Defense / Speed,46
28,28,Physical / Positioning,90
29,29,Pace / Diving,69
29,29,Shooting / Handling,93
29,29,Passing / Kicking,84
29,29,Dribbling / Reflexes,83
29,29,Defense / Speed,49
29,29,Physical / Positioning,83
30,30,Pace / Diving,75
30,30,Shooting / Handling,91
30,30,Passing / Kicking,80
30,30,Dribbling / Reflexes,87
30,30,Defense / Speed,44
30,30,Physical / Positioning,84
31,31,Pace / Diving,90
31,31,Shooting / Handling,89
31,31,Passing / Kicking,82
31,31,Dribbling / Reflexes,89
31,31,Defense / Speed,46
31,31,Physical / Positioning,78
32,32,Pace / Diving,90
32,32,Shooting / Handling,88
32,32,Passing / Kicking,84
32,32,Dribbling / Reflexes,93
32,32,Defense / Speed,59
32,32,Physical / Positioning,88
33,33,Pace / Diving,86
33,33,Shooting / Handling,90
33,33,Passing / Kicking,80
33,33,Dribbling / Reflexes,88
33,33,Defense / Speed,45
33,33,Physical / Positioning,72
34,34,Pace / Diving,91
34,34,Shooting / Handling,89
34,34,Passing / Kicking,82
34,34,Dribbling / Reflexes,92
34,34,Defense / Speed,56
34,34,Physical / Positioning,68
35,35,Pace / Diving,73
35,35,Shooting / Handling,79
35,35,Passing / Kicking,93
35,35,Dribbling / Reflexes,89
35,35,Defense / Speed,69
35,35,Physical / Positioning,66
36,36,Pace / Diving,80
36,36,Shooting / Handling,76
36,36,Passing / Kicking,92
36,36,Dribbling / Reflexes,90
36,36,Defense / Speed,69
36,36,Physical / Positioning,69
37,37,Pace / Diving,83
37,37,Shooting / Handling,89
37,37,Passing / Kicking,84
37,37,Dribbling / Reflexes,88
37,37,Defense / Speed,35
37,37,Physical / Positioning,76
38,38,Pace / Diving,85
38,38,Shooting / Handling,88
38,38,Passing / Kicking,88
38,38,Dribbling / Reflexes,86
38,38,Defense / Speed,80
38,38,Physical / Positioning,87
39,39,Pace / Diving,87
39,39,Shooting / Handling,88
39,39,Passing / Kicking,87
39,39,Dribbling / Reflexes,91
39,39,Defense / Speed,42
39,39,Physical / Positioning,75
40,40,Pace / Diving,91
40,40,Shooting / Handling,83
40,40,Passing / Kicking,83
40,40,Dribbling / Reflexes,80
40,40,Defense / Speed,85
40,40,Physical / Positioning,86
41,41,Pace / Diving,83
41,41,Shooting / Handling,90
41,41,Passing / Kicking,87
41,41,Dribbling / Reflexes,91
41,41,Defense / Speed,41
41,41,Physical / Positioning,66
42,42,Pace / Diving,88
42,42,Shooting / Handling,87
42,42,Passing / Kicking,88
42,42,Dribbling / Reflexes,81
42,42,Defense / Speed,89
42,42,Physical / Positioning,82
43,43,Pace / Diving,70
43,43,Shooting / Handling,62
43,43,Passing / Kicking,81
43,43,Dribbling / Reflexes,76
43,43,Defense / Speed,92
43,43,Physical / Positioning,83
44,44,Pace / Diving,92
44,44,Shooting / Handling,89
44,44,Passing / Kicking,70
44,44,Dribbling / Reflexes,86
44,44,Defense / Speed,44
44,44,Physical / Positioning,85
45,45,Pace / Diving,76
45,45,Shooting / Handling,89
45,45,Passing / Kicking,93
45,45,Dribbling / Reflexes,86
45,45,Defense / Speed,71
45,45,Physical / Positioning,80
46,46,Pace / Diving,95
46,46,Shooting / Handling,82
46,46,Passing / Kicking,78
46,46,Dribbling / Reflexes,90
46,46,Defense / Speed,29
46,46,Physical / Positioning,68
47,47,Pace / Diving,78
47,47,Shooting / Handling,60
47,47,Passing / Kicking,71
47,47,Dribbling / Reflexes,72
47,47,Defense / Speed,89
47,47,Physical / Positioning,86
48,48,Pace / Diving,89
48,48,Shooting / Handling,87
48,48,Passing / Kicking,81
48,48,Dribbling / Reflexes,88
48,48,Defense / Speed,45
48,48,Physical / Positioning,76
49,49,Pace / Diving,62
49,49,Shooting / Handling,39
49,49,Passing / Kicking,66
49,49,Dribbling / Reflexes,69
49,49,Defense / Speed,89
49,49,Physical / Positioning,87
50,50,Pace / Diving,58
50,50,Shooting / Handling,73
50,50,Passing / Kicking,80
50,50,Dribbling / Reflexes,80
50,50,Defense / Speed,85
50,50,Physical / Positioning,84
51,51,Pace / Diving,86
51,51,Shooting / Handling,83
51,51,Passing / Kicking,85
51,51,Dribbling / Reflexes,93
51,51,Defense / Speed,37
51,51,Physical / Positioning,61
52,52,Pace / Diving,86
52,52,Shooting / Handling,85
52,52,Passing / Kicking,89
52,52,Dribbling / Reflexes,91
52,52,Defense / Speed,47
52,52,Physical / Positioning,86
53,53,Pace / Diving,86
53,53,Shooting / Handling,85
53,53,Passing / Kicking,85
53,53,Dribbling / Reflexes,89
53,53,Defense / Speed,56
53,53,Physical / Positioning,90
54,54,Pace / Diving,63
54,54,Shooting / Handling,75
54,54,Passing / Kicking,79
54,54,Dribbling / Reflexes,73
54,54,Defense / Speed,89
54,54,Physical / Positioning,88
55,55,Pace / Diving,89
55,55,Shooting / Handling,90
55,55,Passing / Kicking,75
55,55,Dribbling / Reflexes,88
55,55,Defense / Speed,41
55,55,Physical / Positioning,72
56,56,Pace / Diving,83
56,56,Shooting / Handling,60
56,56,Passing / Kicking,84
56,56,Dribbling / Reflexes,81
56,56,Defense / Speed,86
56,56,Physical / Positioning,78
57,57,Pace / Diving,76
57,57,Shooting / Handling,44
57,57,Passing / Kicking,63
57,57,Dribbling / Reflexes,68
57,57,Defense / Speed,92
57,57,Physical / Positioning,84
58,58,Pace / Diving,89
58,58,Shooting / Handling,90
58,58,Passing / Kicking,78
58,58,Dribbling / Reflexes,88
58,58,Defense / Speed,41
58,58,Physical / Positioning,72
59,59,Pace / Diving,82
59,59,Shooting / Handling,91
59,59,Passing / Kicking,76
59,59,Dribbling / Reflexes,78
59,59,Defense / Speed,49
59,59,Physical / Positioning,84
60,60,Pace / Diving,89
60,60,Shooting / Handling,84
60,60,Passing / Kicking,86
60,60,Dribbling / Reflexes,90
60,60,Defense / Speed,43
60,60,Physical / Positioning,71
61,61,Pace / Diving,92
61,61,Shooting / Handling,90
61,61,Passing / Kicking,79
61,61,Dribbling / Reflexes,87
61,61,Defense / Speed,45
61,61,Physical / Positioning,80
62,62,Pace / Diving,87
62,62,Shooting / Handling,90
62,62,Passing / Kicking,74
62,62,Dribbling / Reflexes,80
62,62,Defense / Speed,44
62,62,Physical / Positioning,87
63,63,Pace / Diving,84
63,63,Shooting / Handling,89
63,63,Passing / Kicking,71
63,63,Dribbling / Reflexes,83
63,63,Defense / Speed,38
63,63,Physical / Positioning,80
64,64,Pace / Diving,86
64,64,Shooting / Handling,89
64,64,Passing / Kicking,86
64,64,Dribbling / Reflexes,89
64,64,Defense / Speed,50
64,64,Physical / Positioning,88
65,65,Pace / Diving,82
65,65,Shooting / Handling,88
65,65,Passing / Kicking,89
65,65,Dribbling / Reflexes,88
65,65,Defense / Speed,43
65,65,Physical / Positioning,82
66,66,Pace / Diving,84
66,66,Shooting / Handling,68
66,66,Passing / Kicking,83
66,66,Dribbling / Reflexes,83
66,66,Defense / Speed,86
66,66,Physical / Positioning,70
67,67,Pace / Diving,86
67,67,Shooting / Handling,89
67,67,Passing / Kicking,71
67,67,Dribbling / Reflexes,84
67,67,Defense / Speed,40
67,67,Physical / Positioning,75
68,68,Pace / Diving,90
68,68,Shooting / Handling,91
68,68,Passing / Kicking,84
68,68,Dribbling / Reflexes,90
68,68,Defense / Speed,49
68,68,Physical / Positioning,84
69,69,Pace / Diving,80
69,69,Shooting / Handling,44
69,69,Passing / Kicking,62
69,69,Dribbling / Reflexes,67
69,69,Defense / Speed,93
69,69,Physical / Positioning,83
70,70,Pace / Diving,91
70,70,Shooting / Handling,89
70,70,Passing / Kicking,84
70,70,Dribbling / Reflexes,90
70,70,Defense / Speed,49
70,70,Physical / Positioning,73
71,71,Pace / Diving,72
71,71,Shooting / Handling,46
71,71,Passing / Kicking,66
71,71,Dribbling / Reflexes,59
71,71,Defense / Speed,91
71,71,Physical / Positioning,88
72,72,Pace / Diving,92
72,72,Shooting / Handling,89
72,72,Passing / Kicking,78
72,72,Dribbling / Reflexes,90
72,72,Defense / Speed,40
72,72,Physical / Positioning,65
73,73,Pace / Diving,89
73,73,Shooting / Handling,84
73,73,Passing / Kicking,86
73,73,Dribbling / Reflexes,91
73,73,Defense / Speed,47
73,73,Physical / Positioning,87
74,74,Pace / Diving,89
74,74,Shooting / Handling,84
74,74,Passing / Kicking,86
74,74,Dribbling / Reflexes,90
74,74,Defense / Speed,38
74,74,Physical / Positioning,77
75,75,Pace / Diving,84
75,75,Shooting / Handling,90
75,75,Passing / Kicking,77
75,75,Dribbling / Reflexes,83
75,75,Defense / Speed,45
75,75,Physical / Positioning,86
76,76,Pace / Diving,89
76,76,Shooting / Handling,90
76,76,Passing / Kicking,76
76,76,Dribbling / Reflexes,86
76,76,Defense / Speed,47
76,76,Physical / Positioning,85
77,77,Pace / Diving,83
77,77,Shooting / Handling,93
77,77,Passing / Kicking,73
77,77,Dribbling / Reflexes,83
77,77,Defense / Speed,44
77,77,Physical / Positioning,76
78,78,Pace / Diving,91
78,78,Shooting / Handling,83
78,78,Passing / Kicking,87
78,78,Dribbling / Reflexes,91
78,78,Defense / Speed,48
78,78,Physical / Positioning,66
79,79,Pace / Diving,90
79,79,Shooting / Handling,88
79,79,Passing / Kicking,87
79,79,Dribbling / Reflexes,91
79,79,Defense / Speed,55
79,79,Physical / Positioning,84
80,80,Pace / Diving,86
80,80,Shooting / Handling,89
80,80,Passing / Kicking,72
80,80,Dribbling / Reflexes,83
80,80,Defense / Speed,42
80,80,Physical / Positioning,79
81,81,Pace / Diving,71
81,81,Shooting / Handling,51
81,81,Passing / Kicking,63
81,81,Dribbling / Reflexes,62
81,81,Defense / Speed,91
81,81,Physical / Positioning,90
82,82,Pace / Diving,82
82,82,Shooting / Handling,72
82,82,Passing / Kicking,74
82,82,Dribbling / Reflexes,77
82,82,Defense / Speed,91
82,82,Physical / Positioning,89
83,83,Pace / Diving,78
83,83,Shooting / Handling,60
83,83,Passing / Kicking,71
83,83,Dribbling / Reflexes,72
83,83,Defense / Speed,89
83,83,Physical / Positioning,86
84,84,Pace / Diving,90
84,84,Shooting / Handling,85
84,84,Passing / Kicking,83
84,84,Dribbling / Reflexes,91
84,84,Defense / Speed,63
84,84,Physical / Positioning,74
85,85,Pace / Diving,86
85,85,Shooting / Handling,82
85,85,Passing / Kicking,91
85,85,Dribbling / Reflexes,86
85,85,Defense / Speed,64
85,85,Physical / Positioning,86
86,86,Pace / Diving,71
86,86,Shooting / Handling,86
86,86,Passing / Kicking,90
86,86,Dribbling / Reflexes,83
86,86,Defense / Speed,69
86,86,Physical / Positioning,77
87,87,Pace / Diving,69
87,87,Shooting / Handling,78
87,87,Passing / Kicking,86
87,87,Dribbling / Reflexes,92
87,87,Defense / Speed,70
87,87,Physical / Positioning,69
88,88,Pace / Diving,88
88,88,Shooting / Handling,82
88,88,Passing / Kicking,84
88,88,Dribbling / Reflexes,84
88,88,Defense / Speed,80
88,88,Physical / Positioning,82
89,89,Pace / Diving,80
89,89,Shooting / Handling,88
89,89,Passing / Kicking,87
89,89,Dribbling / Reflexes,88
89,89,Defense / Speed,58
89,89,Physical / Positioning,75
90,90,Pace / Diving,85
90,90,Shooting / Handling,90
90,90,Passing / Kicking,78
90,90,Dribbling / Reflexes,87
90,90,Defense / Speed,46
90,90,Physical / Positioning,86
91,91,Pace / Diving,70
91,91,Shooting / Handling,74
91,91,Passing / Kicking,88
91,91,Dribbling / Reflexes,84
91,91,Defense / Speed,82
91,91,Physical / Positioning,79
92,92,Pace / Diving,90
92,92,Shooting / Handling,86
92,92,Passing / Kicking,66
92,92,Dribbling / Reflexes,83
92,92,Defense / Speed,42
92,92,Physical / Positioning,82
93,93,Pace / Diving,89
93,93,Shooting / Handling,85
93,93,Passing / Kicking,85
93,93,Dribbling / Reflexes,90
93,93,Defense / Speed,37
93,93,Physical / Positioning,65
94,94,Pace / Diving,71
94,94,Shooting / Handling,84
94,94,Passing / Kicking,90
94,94,Dribbling / Reflexes,90
94,94,Defense / Speed,33
94,94,Physical / Positioning,66
95,95,Pace / Diving,84
95,95,Shooting / Handling,80
95,95,Passing / Kicking,88
95,95,Dribbling / Reflexes,90
95,95,Defense / Speed,40
95,95,Physical / Positioning,63
96,96,Pace / Diving,74
96,96,Shooting / Handling,67
96,96,Passing / Kicking,74
96,96,Dribbling / Reflexes,68
96,96,Defense / Speed,92
96,96,Physical / Positioning,84
97,97,Pace / Diving,86
97,97,Shooting / Handling,90
97,97,Passing / Kicking,71
97,97,Dribbling / Reflexes,85
97,97,Defense / Speed,35
97,97,Physical / Positioning,73
98,98,Pace / Diving,78
98,98,Shooting / Handling,88
98,98,Passing / Kicking,88
98,98,Dribbling / Reflexes,83
98,98,Defense / Speed,75
98,98,Physical / Positioning,82
99,99,Pace / Diving,76
99,99,Shooting / Handling,86
99,99,Passing / Kicking,85
99,99,Dribbling / Reflexes,78
99,99,Defense / Speed,88
99,99,Physical / Positioning,84
100,100,Pace / Diving,74
100,100,Shooting / Handling,86
100,100,Passing / Kicking,89
100,100,Dribbling / Reflexes,78
100,100,Defense / Speed,62
100,100,Physical / Positioning,80
101,101,Pace / Diving,88
101,101,Shooting / Handling,90
101,101,Passing / Kicking,81
101,101,Dribbling / Reflexes,86
101,101,Defense / Speed,53
101,101,Physical / Positioning,87
102,102,Pace / Diving,84
102,102,Shooting / Handling,87
102,102,Passing / Kicking,79
102,102,Dribbling / Reflexes,86
102,102,Defense / Speed,39
102,102,Physical / Positioning,92
103,103,Pace / Diving,86
103,103,Shooting / Handling,85
103,103,Passing / Kicking,76
103,103,Dribbling / Reflexes,88
103,103,Defense / Speed,54
103,103,Physical / Positioning,90
104,104,Pace / Diving,76
104,104,Shooting / Handling,83
104,104,Passing / Kicking,86
104,104,Dribbling / Reflexes,83
104,104,Defense / Speed,83
104,104,Physical / Positioning,83
105,105,Pace / Diving,89
105,105,Shooting / Handling,88
105,105,Passing / Kicking,69
105,105,Dribbling / Reflexes,87
105,105,Defense / Speed,35
105,105,Physical / Positioning,66
106,106,Pace / Diving,82
106,106,Shooting / Handling,48
106,106,Passing / Kicking,65
106,106,Dribbling / Reflexes,64
106,106,Defense / Speed,90
106,106,Physical / Positioning,85
107,107,Pace / Diving,80
107,107,Shooting / Handling,85
107,107,Passing / Kicking,92
107,107,Dribbling / Reflexes,85
107,107,Defense / Speed,66
107,107,Physical / Positioning,79
108,108,Pace / Diving,84
108,108,Shooting / Handling,84
108,108,Passing / Kicking,86
108,108,Dribbling / Reflexes,87
108,108,Defense / Speed,58
108,108,Physical / Positioning,77
109,109,Pace / Diving,78
109,109,Shooting / Handling,67
109,109,Passing / Kicking,68
109,109,Dribbling / Reflexes,76
109,109,Defense / Speed,90
109,109,Physical / Positioning,85
110,110,Pace / Diving,82
110,110,Shooting / Handling,78
110,110,Passing / Kicking,80
110,110,Dribbling / Reflexes,82
110,110,Defense / Speed,88
110,110,Physical / Positioning,90
111,111,Pace / Diving,84
111,111,Shooting / Handling,91
111,111,Passing / Kicking,84
111,111,Dribbling / Reflexes,87
111,111,Defense / Speed,45
111,111,Physical / Positioning,73
112,112,Pace / Diving,82
112,112,Shooting / Handling,51
112,112,Passing / Kicking,65
112,112,Dribbling / Reflexes,66
112,112,Defense / Speed,88
112,112,Physical / Positioning,88
113,113,Pace / Diving,86
113,113,Shooting / Handling,87
113,113,Passing / Kicking,73
113,113,Dribbling / Reflexes,80
113,113,Defense / Speed,40
113,113,Physical / Positioning,79
114,114,Pace / Diving,82
114,114,Shooting / Handling,86
114,114,Passing / Kicking,88
114,114,Dribbling / Reflexes,88
114,114,Defense / Speed,41
114,114,Physical / Positioning,64
115,115,Pace / Diving,87
115,115,Shooting / Handling,83
115,115,Passing / Kicking,83
115,115,Dribbling / Reflexes,93
115,115,Defense / Speed,40
115,115,Physical / Positioning,60
116,116,Pace / Diving,77
116,116,Shooting / Handling,56
116,116,Passing / Kicking,71
116,116,Dribbling / Reflexes,73
116,116,Defense / Speed,91
116,116,Physical / Positioning,82
117,117,Pace / Diving,87
117,117,Shooting / Handling,59
117,117,Passing / Kicking,80
117,117,Dribbling / Reflexes,82
117,117,Defense / Speed,83
117,117,Physical / Positioning,82
118,118,Pace / Diving,82
118,118,Shooting / Handling,87
118,118,Passing / Kicking,83
118,118,Dribbling / Reflexes,83
118,118,Defense / Speed,35
118,118,Physical / Positioning,65
119,119,Pace / Diving,74
119,119,Shooting / Handling,65
119,119,Passing / Kicking,75
119,119,Dribbling / Reflexes,74
119,119,Defense / Speed,90
119,119,Physical / Positioning,88
120,120,Pace / Diving,90
120,120,Shooting / Handling,91
120,120,Passing / Kicking,85
120,120,Dribbling / Reflexes,90
120,120,Defense / Speed,46
120,120,Physical / Positioning,70
121,121,Pace / Diving,76
121,121,Shooting / Handling,55
121,121,Passing / Kicking,76
121,121,Dribbling / Reflexes,75
121,121,Defense / Speed,89
121,121,Physical / Positioning,86
122,122,Pace / Diving,83
122,122,Shooting / Handling,90
122,122,Passing / Kicking,73
122,122,Dribbling / Reflexes,82
122,122,Defense / Speed,43
122,122,Physical / Positioning,83
123,123,Pace / Diving,93
123,123,Shooting / Handling,81
123,123,Passing / Kicking,80
123,123,Dribbling / Reflexes,93
123,123,Defense / Speed,37
123,123,Physical / Positioning,58
124,124,Pace / Diving,80
124,124,Shooting / Handling,60
124,124,Passing / Kicking,68
124,124,Dribbling / Reflexes,70
124,124,Defense / Speed,90
124,124,Physical / Positioning,86
125,125,Pace / Diving,83
125,125,Shooting / Handling,89
125,125,Passing / Kicking,75
125,125,Dribbling / Reflexes,84
125,125,Defense / Speed,43
125,125,Physical / Positioning,80
126,126,Pace / Diving,86
126,126,Shooting / Handling,90
126,126,Passing / Kicking,79
126,126,Dribbling / Reflexes,85
126,126,Defense / Speed,55
126,126,Physical / Positioning,76
127,127,Pace / Diving,81
127,127,Shooting / Handling,84
127,127,Passing / Kicking,90
127,127,Dribbling / Reflexes,86
127,127,Defense / Speed,53
127,127,Physical / Positioning,75
128,128,Pace / Diving,85
128,128,Shooting / Handling,89
128,128,Passing / Kicking,80
128,128,Dribbling / Reflexes,86
128,128,Defense / Speed,46
128,128,Physical / Positioning,89
129,129,Pace / Diving,88
129,129,Shooting / Handling,90
129,129,Passing / Kicking,82
129,129,Dribbling / Reflexes,85
129,129,Defense / Speed,43
129,129,Physical / Positioning,71
130,130,Pace / Diving,75
130,130,Shooting / Handling,63
130,130,Passing / Kicking,75
130,130,Dribbling / Reflexes,76
130,130,Defense / Speed,88
130,130,Physical / Positioning,81
131,131,Pace / Diving,77
131,131,Shooting / Handling,89
131,131,Passing / Kicking,75
131,131,Dribbling / Reflexes,81
131,131,Defense / Speed,46
131,131,Physical / Positioning,80
132,132,Pace / Diving,74
132,132,Shooting / Handling,83
132,132,Passing / Kicking,89
132,132,Dribbling / Reflexes,88
132,132,Defense / Speed,62
132,132,Physical / Positioning,65
133,133,Pace / Diving,82
133,133,Shooting / Handling,88
133,133,Passing / Kicking,72
133,133,Dribbling / Reflexes,86
133,133,Defense / Speed,49
133,133,Physical / Positioning,86
134,134,Pace / Diving,87
134,134,Shooting / Handling,88
134,134,Passing / Kicking,80
134,134,Dribbling / Reflexes,84
134,134,Defense / Speed,42
134,134,Physical / Positioning,70
135,135,Pace / Diving,72
135,135,Shooting / Handling,81
135,135,Passing / Kicking,88
135,135,Dribbling / Reflexes,87
135,135,Defense / Speed,61
135,135,Physical / Positioning,64
136,136,Pace / Diving,72
136,136,Shooting / Handling,76
136,136,Passing / Kicking,89
136,136,Dribbling / Reflexes,87
136,136,Defense / Speed,72
136,136,Physical / Positioning,66
137,137,Pace / Diving,82
137,137,Shooting / Handling,69
137,137,Passing / Kicking,86
137,137,Dribbling / Reflexes,87
137,137,Defense / Speed,77
137,137,Physical / Positioning,78
138,138,Pace / Diving,86
138,138,Shooting / Handling,84
138,138,Passing / Kicking,74
138,138,Dribbling / Reflexes,89
138,138,Defense / Speed,44
138,138,Physical / Positioning,85
139,139,Pace / Diving,84
139,139,Shooting / Handling,85
139,139,Passing / Kicking,90
139,139,Dribbling / Reflexes,84
139,139,Defense / Speed,49
139,139,Physical / Positioning,88
140,140,Pace / Diving,78
140,140,Shooting / Handling,56
140,140,Passing / Kicking,75
140,140,Dribbling / Reflexes,74
140,140,Defense / Speed,89
140,140,Physical / Positioning,80
141,141,Pace / Diving,90
141,141,Shooting / Handling,82
141,141,Passing / Kicking,79
141,141,Dribbling / Reflexes,89
141,141,Defense / Speed,52
141,141,Physical / Positioning,83
142,142,Pace / Diving,80
142,142,Shooting / Handling,86
142,142,Passing / Kicking,71
142,142,Dribbling / Reflexes,85
142,142,Defense / Speed,48
142,142,Physical / Positioning,85
143,143,Pace / Diving,85
143,143,Shooting / Handling,82
143,143,Passing / Kicking,87
143,143,Dribbling / Reflexes,89
143,143,Defense / Speed,51
143,143,Physical / Positioning,85
144,144,Pace / Diving,82
144,144,Shooting / Handling,87
144,144,Passing / Kicking,86
144,144,Dribbling / Reflexes,91
144,144,Defense / Speed,41
144,144,Physical / Positioning,61
145,145,Pace / Diving,88
145,145,Shooting / Handling,89
145,145,Passing / Kicking,69
145,145,Dribbling / Reflexes,81
145,145,Defense / Speed,40
145,145,Physical / Positioning,76
146,146,Pace / Diving,79
146,146,Shooting / Handling,84
146,146,Passing / Kicking,87
146,146,Dribbling / Reflexes,85
146,146,Defense / Speed,66
146,146,Physical / Positioning,79
147,147,Pace / Diving,81
147,147,Shooting / Handling,87
147,147,Passing / Kicking,85
147,147,Dribbling / Reflexes,81
147,147,Defense / Speed,78
147,147,Physical / Positioning,83
148,148,Pace / Diving,89
148,148,Shooting / Handling,87
148,148,Passing / Kicking,75
148,148,Dribbling / Reflexes,85
148,148,Defense / Speed,43
148,148,Physical / Positioning,75
149,149,Pace / Diving,83
149,149,Shooting / Handling,89
149,149,Passing / Kicking,79
149,149,Dribbling / Reflexes,88
149,149,Defense / Speed,43
149,149,Physical / Positioning,75
150,150,Pace / Diving,84
150,150,Shooting / Handling,86
150,150,Passing / Kicking,76
150,150,Dribbling / Reflexes,81
150,150,Defense / Speed,40
150,150,Physical / Positioning,79
151,151,Pace / Diving,81
151,151,Shooting / Handling,48
151,151,Passing / Kicking,76
151,151,Dribbling / Reflexes,78
151,151,Defense / Speed,86
151,151,Physical / Positioning,86
152,152,Pace / Diving,89
152,152,Shooting / Handling,85
152,152,Passing / Kicking,83
152,152,Dribbling / Reflexes,89
152,152,Defense / Speed,44
152,152,Physical / Positioning,83
153,153,Pace / Diving,77
153,153,Shooting / Handling,88
153,153,Passing / Kicking,86
153,153,Dribbling / Reflexes,84
153,153,Defense / Speed,71
153,153,Physical / Positioning,80
154,154,Pace / Diving,82
154,154,Shooting / Handling,88
