p_name,p_club,p_nation,p_league,p_rating,p_position,Alternate_Positions,Card_Version,Run_Style,Price,Price_Variation,Skills_Star,Weak_Foot_Star,Attack_Workrate,Defense_Workrate,Pace / Diving,Shooting / Handling,Passing / Kicking,Dribbling / Reflexes,Defense / Speed,Physical / Positioning,Height,Popularity,Base_Stats,Ingame_Stats
Franco Baresi,EA FC ICONS,Italy,Icons,91,CB,0,Icon,Controlled,190000.0,3.26%,2,3,M,H,73,48,75,70,94,83,"176cm | 5'9""",12,443,2115
Thierry Henry,EA FC ICONS,France,Icons,91,ST,"CF,LW",Icon,Controlled,2400000.0,6.19%,4,4,M,M,93,90,82,89,51,78,"188cm | 6'2""",139,483,2301
Carlos Alberto Torres,EA FC ICONS,Brazil,Icons,91,RB,"RWB,CB",Icon,Controlled,1000000.0,1.01%,3,4,H,M,89,64,80,84,88,85,"180cm | 5'11""",25,490,2268
Marcos Cafú,EA FC ICONS,Brazil,Icons,91,RWB,RB,Icon,Controlled,820000.0,0.61%,4,3,H,M,90,56,83,85,88,83,"176cm | 5'9""",35,485,2285
Marco van Basten,EA FC ICONS,Holland,Icons,91,ST,CF,Icon,Controlled,308000.0,1.99%,3,4,M,M,84,92,74,87,37,73,"188cm | 6'2""",42,447,2184
Eusébio,EA FC ICONS,Portugal,Icons,91,CF,ST,Icon,Explosive,3570000.0,0.14%,4,5,H,M,92,92,84,91,44,77,"175cm | 5'9""",74,480,2344
Antunes Coimbra,EA FC ICONS,Brazil,Icons,91,CAM,"CM,CF",Icon,Mostly Explosive,3080000.0,2.67%,5,5,H,M,89,92,91,91,62,71,0,419,496,2402
Roberto Baggio,EA FC ICONS,Italy,Icons,91,CAM,CF,Icon,Explosive,411000.0,3.01%,5,4,M,L,84,82,90,91,38,60,"174cm | 5'9""",58,445,2165
Harry Kane,FC Bayern München,England,Bundesliga,91,ST,CF,IF,Mostly Lengthy,130000.0,2.99%,3,5,H,H,70,94,86,85,50,84,"188cm | 6'2""",275,469,2307
Lionel Messi,Inter Miami CF,Argentina,MLS,90,CF,"CAM,ST",normal,Explosive,162000.0,3.57%,4,4,L,L,80,87,90,94,33,64,"169cm | 5'7""",1764,448,2208
Karim Benzema,Al Ittihad,France,ROSHN Saudi League,90,CF,ST,normal,Controlled Lengthy,35000.0,4.48%,4,4,M,M,79,88,83,87,39,78,"185cm | 6'1""",465,454,2201
Thibaut Courtois,Real Madrid,Belgium,LALIGA EA SPORTS,90,GK,0,normal,Controlled Lengthy,69500.0,0.72%,1,3,M,M,85,89,76,93,46,90,"199cm | 6'6""",168,479,978
Harry Kane,FC Bayern München,England,Bundesliga,90,ST,CF,normal,Mostly Lengthy,35000.0,6.87%,3,5,H,H,69,93,84,83,49,83,"188cm | 6'2""",456,461,2265
Robert Lewandowski,FC Barcelona,Poland,LALIGA EA SPORTS,90,ST,CF,normal,Mostly Lengthy,39250.0,0.64%,4,4,H,M,75,91,80,87,44,84,"185cm | 6'1""",286,461,2258
Mohamed Salah,Liverpool,Egypt,Premier League,90,RW,RM,IF,Mostly Explosive,638000.0,0.78%,4,3,H,M,90,89,82,89,46,78,"175cm | 5'9""",451,474,2287
Iker Casillas,EA FC ICONS,Spain,Icons,90,GK,0,Icon,Controlled,286000.0,2.72%,1,3,M,M,90,88,84,93,59,88,"185cm | 6'1""",27,502,1270
Raúl González Blanco,EA FC ICONS,Spain,Icons,90,CF,ST,Icon,Mostly Explosive,768000.0,0.52%,4,4,H,M,86,90,80,88,45,72,"180cm | 5'11""",61,461,2236
George Best,EA FC ICONS,Northern Ireland,Icons,90,RW,"RM,CAM,LW",Icon,Explosive,1350000.0,3.85%,4,4,M,M,91,89,82,92,56,68,"175cm | 5'9""",54,478,2301
Andrea Pirlo,EA FC ICONS,Italy,Icons,90,CM,CDM,Icon,Controlled Explosive,293000.0,1.03%,5,4,M,M,73,79,93,89,69,66,"177cm | 5'10""",45,469,2311
Xavier Hernández,EA FC ICONS,Spain,Icons,90,CM,0,Icon,Explosive,378000.0,2.16%,4,3,H,H,80,76,92,90,69,69,"170cm | 5'7""",49,476,2308
Dennis Bergkamp,EA FC ICONS,Holland,Icons,90,CF,"CAM,ST",Icon,Controlled,349000.0,0.58%,4,4,M,M,83,89,84,88,35,76,"183cm | 6'0""",36,455,2220
Ruud Gullit,EA FC ICONS,Holland,Icons,90,CF,"CM,CAM,ST",Icon,Controlled Lengthy,4100000.0,1.91%,4,5,H,M,85,88,88,86,80,87,"191cm | 6'3""",184,514,2488
Rivaldo,EA FC ICONS,Brazil,Icons,90,LW,"LM,CAM,CF",Icon,Controlled,480000.0,1.64%,4,2,M,L,87,88,87,91,42,75,"186cm | 6'1""",38,470,2283
Roberto Carlos,EA FC ICONS,Brazil,Icons,90,LB,LWB,Icon,Controlled,1050000.0,5.86%,3,2,H,H,91,83,83,80,85,86,"168cm | 5'6""",47,508,2450
Alessandro Del Piero,EA FC ICONS,Italy,Icons,90,CF,"CAM,ST",Icon,Mostly Explosive,684000.0,0.87%,4,5,M,M,83,90,87,91,41,66,"174cm | 5'9""",66,458,2227
Lothar Matthäus,EA FC ICONS,Germany,Icons,90,CM,"CB,CDM",Icon,Controlled,1800000.0,5.53%,3,4,H,H,88,87,88,81,89,82,"174cm | 5'9""",54,515,2492
Bobby Moore,EA FC ICONS,England,Icons,90,CB,0,Icon,Controlled,165000.0,5.17%,2,3,M,M,70,62,81,76,92,83,"178cm | 5'10""",19,464,2279
Victor Osimhen,Napoli FC,Nigeria,Serie A TIM,90,ST,CF,Champions League,Controlled Lengthy,530000.0,1.49%,3,4,H,M,92,89,70,86,44,85,"185cm | 6'1""",435,466,2175
Bruno Fernandes,Manchester Utd,Portugal,Premier League,90,CAM,CM,Champions League,Controlled Explosive,385000.0,0.79%,4,3,H,H,76,89,93,86,71,80,"179cm | 5'10""",401,495,2444
Vinícius Júnior,Real Madrid,Brazil,LALIGA EA SPORTS,89,LW,LM,normal,Mostly Explosive,1120000.0,6.22%,5,4,H,H,95,82,78,90,29,68,"176cm | 5'9""",926,442,2070
Virgil van Dijk,Liverpool,Holland,Premier League,89,CB,0,normal,Lengthy,234000.0,2.09%,2,3,M,H,78,60,71,72,89,86,"193cm | 6'4""",305,456,2129
Mohamed Salah,Liverpool,Egypt,Premier League,89,RW,RM,normal,Mostly Explosive,253000.0,0.78%,4,3,H,M,89,87,81,88,45,76,"175cm | 5'9""",286,466,2248
Rúben Dias,Manchester City,Portugal,Premier League,89,CB,0,normal,Controlled Lengthy,22500.0,8.43%,2,4,M,H,62,39,66,69,89,87,"187cm | 6'2""",193,412,1938
Rodri,Manchester City,Spain,Premier League,89,CDM,CM,normal,Controlled Lengthy,22000.0,6.02%,3,4,M,H,58,73,80,80,85,84,"191cm | 6'3""",149,460,2222
Neymar Jr,Al Hilal,Brazil,ROSHN Saudi League,89,LW,LM,normal,Explosive,335000.0,0.89%,5,5,H,M,86,83,85,93,37,61,"175cm | 5'9""",636,445,2199
ter Stegen,FC Barcelona,Germany,LALIGA EA SPORTS,89,GK,0,normal,Controlled Lengthy,36000.0,5.88%,1,4,M,M,86,85,89,91,47,86,"187cm | 6'2""",191,484,1075
Alisson,Liverpool,Brazil,Premier League,89,GK,0,normal,Mostly Lengthy,55000.0,7.84%,1,3,M,M,86,85,85,89,56,90,"193cm | 6'4""",179,491,1102
Casemiro,Manchester Utd,Brazil,Premier League,89,CDM,0,normal,Mostly Lengthy,22500.0,5.88%,2,3,M,H,63,75,79,73,89,88,"185cm | 6'1""",133,467,2283
Kenny Dalglish,EA FC ICONS,Scotland,Icons,89,ST,CF,Icon,Explosive,1510000.0,0.66%,4,5,H,M,89,90,75,88,41,72,"173cm | 5'8""",51,455,2229
Javier Zanetti,EA FC ICONS,Argentina,Icons,89,RB,"RWB,LB,CM",Icon,Controlled,397000.0,3.17%,2,4,H,H,83,60,84,81,86,78,"178cm | 5'10""",40,472,2206
Alessandro Nesta,EA FC ICONS,Italy,Icons,89,CB,0,Icon,Mostly Lengthy,238000.0,11.19%,2,3,M,H,76,44,63,68,92,84,"187cm | 6'2""",36,427,1950
Hugo Sánchez,EA FC ICONS,Mexico,Icons,89,ST,CF,Icon,Mostly Explosive,470000.0,4.44%,3,4,H,M,89,90,78,88,41,72,"176cm | 5'9""",66,458,2229
Alan Shearer,EA FC ICONS,England,Icons,89,ST,CF,Icon,Controlled Lengthy,134000.0,6.94%,3,3,H,M,82,91,76,78,49,84,"182cm | 6'0""",21,460,2253
Kaká,EA FC ICONS,Brazil,Icons,89,CAM,0,Icon,Controlled,1100000.0,4.53%,5,4,H,M,89,84,86,90,43,71,"186cm | 6'1""",79,463,2212
Samuel Eto'o,EA FC ICONS,Cameroon,Icons,89,ST,CF,Icon,Controlled Explosive,1960000.0,2.10%,4,4,H,L,92,90,79,87,45,80,"179cm | 5'10""",65,473,2282
Didier Drogba,EA FC ICONS,Côte d'Ivoire,Icons,89,ST,CF,Icon,Lengthy,830000.0,4.60%,4,4,H,H,87,90,74,80,44,87,"189cm | 6'2""",48,462,2223
Ruud van Nistelrooy,EA FC ICONS,Holland,Icons,89,ST,CF,Icon,Controlled Lengthy,166000.0,7.78%,3,3,H,L,84,89,71,83,38,80,"188cm | 6'2""",55,445,2136
Éric Cantona,EA FC ICONS,France,Icons,89,CF,ST,Icon,Controlled Lengthy,1880000.0,0.53%,5,4,H,M,86,89,86,89,50,88,"188cm | 6'2""",74,488,2371
Sócrates,EA FC ICONS,Brazil,Icons,89,CAM,0,Icon,Controlled,459000.0,7.46%,4,5,H,M,82,88,89,88,43,82,"192cm | 6'4""",48,472,2281
Philipp Lahm,EA FC ICONS,Germany,Icons,89,RB,"RWB,LB,CDM",Icon,Explosive,569000.0,3.23%,3,3,H,H,84,68,83,83,86,70,"170cm | 5'7""",39,474,2294
Gary Lineker,EA FC ICONS,England,Icons,89,ST,CF,Icon,Controlled,139000.0,1.46%,3,4,H,L,86,89,71,84,40,75,"177cm | 5'10""",19,445,2130
Hristo Stoichkov,EA FC ICONS,Bulgaria,Icons,89,ST,"CF,RW,LW",Icon,Controlled Explosive,998000.0,1.94%,4,3,M,M,90,91,84,90,49,84,"178cm | 5'10""",69,488,2357
Fabio Cannavaro,EA FC ICONS,Italy,Icons,89,CB,0,Icon,Controlled,420000.0,0.24%,2,3,L,H,80,44,62,67,93,83,"176cm | 5'9""",29,429,2026
Jairzinho,EA FC ICONS,Brazil,Icons,89,RW,"RM,ST",Icon,Controlled Explosive,2790000.0,3.33%,5,4,H,H,91,89,84,90,49,73,"173cm | 5'8""",83,476,2283
Carles Puyol Saforcada,EA FC ICONS,Spain,Icons,89,CB,RB,Icon,Controlled,185000.0,3.33%,2,3,M,H,72,46,66,59,91,88,"178cm | 5'10""",43,422,1977
Emilio Butragueño,EA FC ICONS,Spain,Icons,89,ST,CF,Icon,Explosive,1550000.0,1.02%,3,5,M,L,92,89,78,90,40,65,"168cm | 5'6""",80,454,2188
Peter Schmeichel,EA FC ICONS,Denmark,Icons,89,GK,0,Icon,Controlled Lengthy,274000.0,1.79%,1,3,M,M,89,84,86,91,47,87,"193cm | 6'4""",18,484,1249
Luís Figo,EA FC ICONS,Portugal,Icons,89,RW,"RM,CAM",Icon,Mostly Explosive,617000.0,7.22%,4,4,H,L,89,84,86,90,38,77,"180cm | 5'11""",35,464,2207
Morientes,HERO,Spain,LALIGA EA SPORTS,89,ST,CF,Hero,Mostly Lengthy,189000.0,2.07%,4,4,H,M,84,90,77,83,45,86,"186cm | 6'1""",75,465,2242
Rudi Völler,HERO,Germany,Bundesliga,89,ST,CF,Hero,Controlled,784000.0,1.16%,3,4,H,M,89,90,76,86,47,85,"180cm | 5'11""",73,473,2288
Jean-Pierre Papin,HERO,France,Ligue 1 Uber Eats,89,ST,CF,Hero,Controlled Explosive,150000.0,6.25%,3,4,H,M,83,93,73,83,44,76,"176cm | 5'9""",53,452,2212
Abedi Pelé,HERO,Ghana,Ligue 1 Uber Eats,89,CAM,"LM,CF",Hero,Explosive,759000.0,1.47%,4,4,M,M,91,83,87,91,48,66,"174cm | 5'9""",29,466,2267
David Ginola,HERO,France,Ligue 1 Uber Eats,89,LM,"CAM,ST,LW",Hero,Controlled,2930000.0,1.92%,5,5,H,M,90,88,87,91,55,84,"186cm | 6'1""",171,495,2375
Gianluca Vialli,HERO,Italy,Serie A TIM,89,ST,CF,Hero,Controlled,141000.0,1.44%,3,4,H,M,86,89,72,83,42,79,"180cm | 5'11""",120,451,2156
Jürgen Kohler,HERO,Germany,Bundesliga,89,CB,0,Hero,Mostly Lengthy,93000.0,4.62%,2,3,M,H,71,51,63,62,91,90,"186cm | 6'1""",49,428,2033
Lucimar da Silva Ferreira,HERO,Brazil,Serie A TIM,89,CB,0,Hero,Mostly Lengthy,1120000.0,3.78%,3,3,M,H,82,72,74,77,91,89,"188cm | 6'2""",75,485,2303
Virgil van Dijk,Liverpool,Holland,Premier League,89,CB,0,Nike,Lengthy,277000.0,2.46%,2,3,M,H,78,60,71,72,89,86,"193cm | 6'4""",479,456,2129
Bukayo Saka,Arsenal,England,Premier League,89,RW,RM,Champions League,Mostly Explosive,700000.0,1.16%,4,4,H,M,90,85,83,91,63,74,"178cm | 5'10""",695,486,2317
Ederson,Manchester City,Brazil,Premier League,88,GK,0,normal,Mostly Lengthy,30000.0,2.56%,1,3,M,M,86,82,91,86,64,86,"188cm | 6'2""",92,495,1227
Bruno Fernandes,Manchester Utd,Portugal,Premier League,88,CAM,CM,normal,Controlled Explosive,29750.0,2.56%,4,3,H,H,71,86,90,83,69,77,"179cm | 5'10""",326,476,2357
Bernardo Silva,Manchester City,Portugal,Premier League,88,CM,RW,normal,Controlled Explosive,16000.0,8.47%,4,3,H,H,69,78,86,92,70,69,"173cm | 5'8""",387,464,2273
Federico Valverde,Real Madrid,Uruguay,LALIGA EA SPORTS,88,CM,RW,normal,Controlled,392000.0,3.43%,3,4,H,H,88,82,84,84,80,82,"182cm | 6'0""",533,500,2331
Antoine Griezmann,Atlético de Madrid,France,LALIGA EA SPORTS,88,ST,CF,normal,Mostly Explosive,100000.0,6.54%,4,3,H,H,80,88,87,88,58,75,"176cm | 5'9""",1232,476,2348
Jan Oblak,Atlético de Madrid,Slovenia,LALIGA EA SPORTS,88,GK,0,normal,Controlled Lengthy,17000.0,6.25%,1,3,M,M,85,90,78,87,46,86,"188cm | 6'2""",94,472,1035
Joshua Kimmich,FC Bayern München,Germany,Bundesliga,88,CDM,"RB,CM",normal,Controlled Explosive,16500.0,4.76%,3,4,H,M,70,74,88,84,82,79,"177cm | 5'10""",318,477,2343
Victor Osimhen,Napoli FC,Nigeria,Serie A TIM,88,ST,CF,normal,Controlled Lengthy,54000.0,4.42%,3,4,H,M,90,86,66,83,42,82,"185cm | 6'1""",813,449,2090
Franck Ribéry,EA FC ICONS,France,Icons,88,LM,LW,Icon,Explosive,1870000.0,2.35%,5,5,H,L,89,85,85,90,37,65,"170cm | 5'7""",755,451,2154
Riquelme,EA FC ICONS,Argentina,Icons,88,CAM,0,Icon,Controlled,124000.0,0.80%,5,4,M,L,71,84,90,90,33,66,"183cm | 6'0""",38,434,2135
Michael Laudrup,EA FC ICONS,Denmark,Icons,88,CAM,LW,Icon,Controlled,156000.0,3.70%,4,4,M,M,84,80,88,90,40,63,"183cm | 6'0""",28,445,2149
Fernando Hierro Ruiz,EA FC ICONS,Spain,Icons,88,CB,0,Icon,Mostly Lengthy,175000.0,4.89%,2,3,M,H,74,67,74,68,92,84,"187cm | 6'2""",29,459,2242
Andriy Shevchenko,EA FC ICONS,Ukraine,Icons,88,ST,"CF,RW",Icon,Controlled,217000.0,4.82%,3,4,H,H,86,90,71,85,35,73,"183cm | 6'0""",52,440,2149
Steven Gerrard,EA FC ICONS,England,Icons,88,CM,CDM,Icon,Controlled Lengthy,361000.0,2.17%,3,3,H,M,78,88,88,83,75,82,"183cm | 6'0""",51,494,2366
Ronald Koeman,EA FC ICONS,Holland,Icons,88,CB,0,Icon,Controlled Lengthy,220000.0,0.92%,3,3,H,M,76,86,85,78,88,84,"181cm | 5'11""",37,497,2439
Paul Scholes,EA FC ICONS,England,Icons,88,CM,CAM,Icon,Controlled,142000.0,5.19%,3,4,H,M,74,86,89,78,62,80,"171cm | 5'7""",26,469,2300
Wayne Rooney,EA FC ICONS,England,Icons,88,ST,"CAM,CF",Icon,Controlled,757000.0,2.82%,3,4,H,H,88,90,81,86,53,87,"176cm | 5'9""",42,485,2338
Edwin van der Sar,EA FC ICONS,Holland,Icons,88,GK,0,Icon,Controlled,620000.0,0.32%,1,3,M,M,84,87,79,86,39,92,"197cm | 6'6""",45,467,927
Petr Cech,EA FC ICONS,Czech Republic,Icons,88,GK,0,Icon,Controlled Lengthy,233000.0,4.90%,1,3,M,M,86,85,76,88,54,90,"196cm | 6'5""",43,479,1104
Bastian Schweinsteiger,EA FC ICONS,Germany,Icons,88,CM,LM,Icon,Controlled Lengthy,390000.0,4.18%,3,3,H,H,76,83,86,83,83,83,"183cm | 6'0""",66,494,2404
Michael Owen,EA FC ICONS,England,Icons,88,ST,CF,Icon,Explosive,304000.0,1.33%,3,4,M,M,89,88,69,87,35,66,"173cm | 5'8""",31,434,2101
Rio Ferdinand,EA FC ICONS,England,Icons,88,CB,0,Icon,Lengthy,898000.0,3.22%,3,3,M,M,82,48,65,64,90,85,"189cm | 6'2""",33,434,2007
David Beckham,EA FC ICONS,England,Icons,88,RM,"CM,RW",Icon,Controlled,500000.0,4.17%,3,3,H,H,80,85,92,85,66,79,"182cm | 6'0""",71,487,2389
Pavel Nedvěd,EA FC ICONS,Czech Republic,Icons,88,LM,"CAM,LW",Icon,Controlled Explosive,288000.0,4.73%,4,5,H,M,84,84,86,87,58,77,"177cm | 5'10""",34,476,2292
Laurent Blanc,EA FC ICONS,France,Icons,88,CB,CAM,Icon,Mostly Lengthy,540000.0,5.26%,2,3,M,H,78,67,68,76,90,85,"192cm | 6'4""",29,464,2213
Patrick Vieira,EA FC ICONS,France,Icons,88,CM,0,Icon,Mostly Lengthy,2450000.0,2.08%,3,3,M,H,82,78,80,82,88,90,"192cm | 6'4""",45,500,2340
Robin van Persie,EA FC ICONS,Holland,Icons,88,ST,CF,Icon,Controlled,550000.0,7.41%,4,4,H,L,84,91,84,87,45,73,"183cm | 6'0""",46,464,2255
Marcel Desailly,EA FC ICONS,France,Icons,88,CB,CDM,Icon,Mostly Lengthy,677000.0,1.17%,2,3,M,H,82,51,65,66,88,88,"185cm | 6'1""",27,440,2041
Miroslav Klose,EA FC ICONS,Germany,Icons,88,ST,CF,Icon,Controlled Lengthy,210000.0,1.17%,3,4,H,M,86,87,73,80,40,79,"184cm | 6'0""",64,445,2153
Gheorghe Hagi,EA FC ICONS,Romania,Icons,88,CAM,"CM,LM",Icon,Explosive,220000.0,4.35%,4,4,M,L,82,86,88,88,41,64,"172cm | 5'8""",54,449,2217
Jay-Jay Okocha,HERO,Nigeria,Premier League,88,CAM,"RM,ST",Hero,Explosive,620000.0,4.35%,5,4,M,L,87,83,83,93,40,60,"173cm | 5'8""",87,446,2174
Ricardo Alberto Silveira Carvalho,HERO,Portugal,Liga Portugal,88,CB,0,Hero,Controlled,130000.0,8.45%,2,3,L,H,77,56,71,73,91,82,"183cm | 6'0""",44,450,2127
Bixente Lizarazu,HERO,France,Bundesliga,88,LWB,LB,Hero,Controlled,211000.0,4.95%,3,3,H,H,87,59,80,82,83,82,"169cm | 5'7""",87,473,2256
Jari Litmanen,HERO,Finland,Eredivisie,88,CAM,CM,Hero,Controlled Explosive,49500.0,4.81%,3,4,H,M,82,87,83,83,35,65,"181cm | 5'11""",71,435,2128
Rafael Márquez,HERO,Mexico,LALIGA EA SPORTS,88,CB,CDM,Hero,Mostly Lengthy,113000.0,0.88%,3,3,M,H,74,65,75,74,90,88,"184cm | 6'0""",75,466,2232
Antonio Di Natale,HERO,Italy,Serie A TIM,88,ST,"CF,LW",Hero,Mostly Explosive,1370000.0,2.24%,4,4,H,L,90,91,85,90,46,70,"170cm | 5'7""",61,472,2289
Javier Mascherano,HERO,Argentina,LALIGA EA SPORTS,88,CB,CDM,Hero,Controlled,151000.0,0.67%,3,3,L,H,76,55,76,75,89,86,"174cm | 5'9""",31,457,2188
Mario Gomez,HERO,Germany,Bundesliga,88,ST,CF,Hero,Mostly Lengthy,88000.0,1.12%,3,4,H,M,83,90,73,82,43,83,"189cm | 6'2""",96,454,2157
Paulo Jorge dos Santos Futre,HERO,Portugal,LALIGA EA SPORTS,88,LW,"LM,RW,ST",Hero,Explosive,611000.0,2.24%,4,3,H,L,93,81,80,93,37,58,"175cm | 5'9""",104,442,2140
Vincent Kompany,HERO,Belgium,Premier League,88,CB,0,Hero,Lengthy,809000.0,4.49%,2,3,M,H,80,60,68,70,90,86,"190cm | 6'3""",136,454,2118
Diego Milito,HERO,Argentina,Serie A TIM,88,ST,CF,Hero,Controlled Lengthy,66500.0,0.76%,3,4,H,L,83,89,75,84,43,80,"183cm | 6'0""",61,454,2190
Diego Forlán,HERO,Uruguay,LALIGA EA SPORTS,88,ST,"CF,LW",Hero,Controlled Explosive,378000.0,1.89%,4,4,H,H,86,90,79,85,55,76,"180cm | 5'11""",52,471,2273
Wesley Sneijder,HERO,Holland,Serie A TIM,88,CAM,"CM,LM",Hero,Controlled Explosive,480000.0,1.48%,4,5,M,L,81,84,90,86,53,75,"171cm | 5'7""",184,469,2272
Carlos Tévez,HERO,Argentina,Premier League,88,ST,CF,Hero,Controlled,707000.0,0.14%,4,3,H,H,85,89,80,86,46,89,"171cm | 5'7""",134,475,2281
Heung Min Son,Spurs,Korea Republic,Premier League,88,ST,"LM,CF,LW",IF,Controlled,645000.0,0.31%,4,5,H,M,88,90,82,85,43,71,"183cm | 6'0""",528,459,2215
Leonardo Bonucci,Union Berlin,Italy,Bundesliga,88,CB,0,Champions League,Lengthy,16750.0,3.08%,2,4,M,H,75,63,75,76,88,81,"190cm | 6'3""",586,458,2160
Edin Džeko,Fenerbahçe,Bosnia and Herzegovina,Trendyol Süper Lig,88,ST,CF,Conference League,Lengthy,19000.0,5.00%,3,5,H,M,77,89,75,81,46,80,"193cm | 6'4""",563,448,2115
Martin Ødegaard,Arsenal,Norway,Premier League,88,CM,CAM,IF,Controlled Explosive,101000.0,3.06%,5,2,H,M,74,83,89,88,62,65,"178cm | 5'10""",286,461,2249
Lautaro Martínez,Inter,Argentina,Serie A TIM,88,ST,CF,IF,Controlled,68000.0,6.21%,4,4,H,M,82,88,72,86,49,86,"174cm | 5'9""",222,463,2249
Heung Min Son,Spurs,Korea Republic,Premier League,87,LW,LM,normal,Controlled,129000.0,2.38%,4,5,H,M,87,88,80,84,42,70,"183cm | 6'0""",734,451,2173
Martin Ødegaard,Arsenal,Norway,Premier League,87,CAM,CM,normal,Controlled Explosive,12750.0,2.38%,5,2,H,M,72,81,88,87,61,64,"178cm | 5'10""",521,453,2212
Luka Modric,Real Madrid,Croatia,LALIGA EA SPORTS,87,CM,0,normal,Controlled Explosive,12000.0,2.13%,4,4,M,M,72,76,89,87,72,66,"172cm | 5'8""",328,462,2291
Frenkie de Jong,FC Barcelona,Holland,LALIGA EA SPORTS,87,CM,0,normal,Mostly Explosive,63000.0,0.80%,4,3,H,M,82,69,86,87,77,78,"181cm | 5'11""",449,479,2285
Gregor Kobel,Borussia Dortmund,Switzerland,Bundesliga,87,GK,0,normal,Controlled,12500.0,6.38%,1,3,M,M,86,84,74,89,44,85,"195cm | 6'5""",175,462,920
Manuel Neuer,FC Bayern München,Germany,Bundesliga,87,GK,0,normal,Controlled Lengthy,20000.0,4.76%,1,4,M,M,84,85,90,84,49,88,"193cm | 6'4""",133,480,1141
Marquinhos,Paris SG,Brazil,Ligue 1 Uber Eats,87,CB,0,normal,Controlled Lengthy,41250.0,3.51%,3,3,M,H,78,56,75,74,89,80,"183cm | 6'0""",209,452,2115
Gianluigi Donnarumma,Paris SG,Italy,Ligue 1 Uber Eats,87,GK,0,normal,Controlled Lengthy,14500.0,3.57%,1,3,M,M,90,82,79,89,52,83,"196cm | 6'5""",80,475,1012
Lautaro Martínez,Inter,Argentina,Serie A TIM,87,ST,CF,normal,Controlled,12500.0,4.17%,4,4,H,M,80,86,71,85,48,85,"174cm | 5'9""",233,455,2211
