p_name,p_club,p_nation,p_league,p_rating,p_position,Alternate_Positions,Card_Version,Run_Style,Skills_Star,Weak_Foot_Star,Attack_Workrate,Defense_Workrate,Pace / Diving,Shooting / Handling,Passing / Kicking,Dribbling / Reflexes,Defense / Speed,Physical / Positioning,Height
Robert Lewandowski,FC Barcelona,Poland,LALIGA EA SPORTS,91,ST,CF,IF,Mostly Lengthy,4,4,H,M,77,92,82,88,45,85,"185cm | 6'1"""
Franco Baresi,EA FC ICONS,Italy,Icons,91,CB,0,Icon,Controlled,2,3,M,H,73,48,75,70,94,83,"176cm | 5'9"""
Thierry Henry,EA FC ICONS,France,Icons,91,ST,"CF,LW",Icon,Controlled,4,4,M,M,93,90,82,89,51,78,"188cm | 6'2"""
Carlos Alberto Torres,EA FC ICONS,Brazil,Icons,91,RB,"RWB,CB",Icon,Controlled,3,4,H,M,89,64,80,84,88,85,"180cm | 5'11"""
Marcos Cafú,EA FC ICONS,Brazil,Icons,91,RWB,RB,Icon,Controlled,4,3,H,M,90,56,83,85,88,83,"176cm | 5'9"""
Marco van Basten,EA FC ICONS,Holland,Icons,91,ST,CF,Icon,Controlled,3,4,M,M,84,92,74,87,37,73,"188cm | 6'2"""
Eusébio,EA FC ICONS,Portugal,Icons,91,CF,ST,Icon,Explosive,4,5,H,M,92,92,84,91,44,77,"175cm | 5'9"""
Antunes Coimbra,EA FC ICONS,Brazil,Icons,91,CAM,"CM,CF",Icon,Mostly Explosive,5,5,H,M,89,92,91,91,62,71,0
Roberto Baggio,EA FC ICONS,Italy,Icons,91,CAM,CF,Icon,Explosive,5,4,M,L,84,82,90,91,38,60,"174cm | 5'9"""
Harry Kane,FC Bayern München,England,Bundesliga,91,ST,CF,IF,Mostly Lengthy,3,5,H,H,70,94,86,85,50,84,"188cm | 6'2"""
Lionel Messi,Inter Miami CF,Argentina,MLS,90,CF,"CAM,ST",normal,Explosive,4,4,L,L,80,87,90,94,33,64,"169cm | 5'7"""
Karim Benzema,Al Ittihad,France,ROSHN Saudi League,90,CF,ST,normal,Controlled Lengthy,4,4,M,M,79,88,83,87,39,78,"185cm | 6'1"""
Thibaut Courtois,Real Madrid,Belgium,LALIGA EA SPORTS,90,GK,0,normal,Controlled Lengthy,1,3,M,M,85,89,76,93,46,90,"199cm | 6'6"""
Harry Kane,FC Bayern München,England,Bundesliga,90,ST,CF,normal,Mostly Lengthy,3,5,H,H,69,93,84,83,49,83,"188cm | 6'2"""
Robert Lewandowski,FC Barcelona,Poland,LALIGA EA SPORTS,90,ST,CF,normal,Mostly Lengthy,4,4,H,M,75,91,80,87,44,84,"185cm | 6'1"""
Mohamed Salah,Liverpool,Egypt,Premier League,90,RW,RM,IF,Mostly Explosive,4,3,H,M,90,89,82,89,46,78,"175cm | 5'9"""
Iker Casillas,EA FC ICONS,Spain,Icons,90,GK,0,Icon,Controlled,1,3,M,M,90,88,84,93,59,88,"185cm | 6'1"""
Raúl González Blanco,EA FC ICONS,Spain,Icons,90,CF,ST,Icon,Mostly Explosive,4,4,H,M,86,90,80,88,45,72,"180cm | 5'11"""
George Best,EA FC ICONS,Northern Ireland,Icons,90,RW,"RM,CAM,LW",Icon,Explosive,4,4,M,M,91,89,82,92,56,68,"175cm | 5'9"""
Andrea Pirlo,EA FC ICONS,Italy,Icons,90,CM,CDM,Icon,Controlled Explosive,5,4,M,M,73,79,93,89,69,66,"177cm | 5'10"""
Xavier Hernández,EA FC ICONS,Spain,Icons,90,CM,0,Icon,Explosive,4,3,H,H,80,76,92,90,69,69,"170cm | 5'7"""
Dennis Bergkamp,EA FC ICONS,Holland,Icons,90,CF,"CAM,ST",Icon,Controlled,4,4,M,M,83,89,84,88,35,76,"183cm | 6'0"""
Ruud Gullit,EA FC ICONS,Holland,Icons,90,CF,"CM,CAM,ST",Icon,Controlled Lengthy,4,5,H,M,85,88,88,86,80,87,"191cm | 6'3"""
Rivaldo,EA FC ICONS,Brazil,Icons,90,LW,"LM,CAM,CF",Icon,Controlled,4,2,M,L,87,88,87,91,42,75,"186cm | 6'1"""
Roberto Carlos,EA FC ICONS,Brazil,Icons,90,LB,LWB,Icon,Controlled,3,2,H,H,91,83,83,80,85,86,"168cm | 5'6"""
Alessandro Del Piero,EA FC ICONS,Italy,Icons,90,CF,"CAM,ST",Icon,Mostly Explosive,4,5,M,M,83,90,87,91,41,66,"174cm | 5'9"""
Lothar Matthäus,EA FC ICONS,Germany,Icons,90,CM,"CB,CDM",Icon,Controlled,3,4,H,H,88,87,88,81,89,82,"174cm | 5'9"""
Bobby Moore,EA FC ICONS,England,Icons,90,CB,0,Icon,Controlled,2,3,M,M,70,62,81,76,92,83,"178cm | 5'10"""
Victor Osimhen,Napoli FC,Nigeria,Serie A TIM,90,ST,CF,Champions League,Controlled Lengthy,3,4,H,M,92,89,70,86,44,85,"185cm | 6'1"""
Bruno Fernandes,Manchester Utd,Portugal,Premier League,90,CAM,CM,Champions League,Controlled Explosive,4,3,H,H,76,89,93,86,71,80,"179cm | 5'10"""
Vinícius Júnior,Real Madrid,Brazil,LALIGA EA SPORTS,89,LW,LM,normal,Mostly Explosive,5,4,H,H,95,82,78,90,29,68,"176cm | 5'9"""
Virgil van Dijk,Liverpool,Holland,Premier League,89,CB,0,normal,Lengthy,2,3,M,H,78,60,71,72,89,86,"193cm | 6'4"""
Mohamed Salah,Liverpool,Egypt,Premier League,89,RW,RM,normal,Mostly Explosive,4,3,H,M,89,87,81,88,45,76,"175cm | 5'9"""
Rúben Dias,Manchester City,Portugal,Premier League,89,CB,0,normal,Controlled Lengthy,2,4,M,H,62,39,66,69,89,87,"187cm | 6'2"""
Rodri,Manchester City,Spain,Premier League,89,CDM,CM,normal,Controlled Lengthy,3,4,M,H,58,73,80,80,85,84,"191cm | 6'3"""
Neymar Jr,Al Hilal,Brazil,ROSHN Saudi League,89,LW,LM,normal,Explosive,5,5,H,M,86,83,85,93,37,61,"175cm | 5'9"""
ter Stegen,FC Barcelona,Germany,LALIGA EA SPORTS,89,GK,0,normal,Controlled Lengthy,1,4,M,M,86,85,89,91,47,86,"187cm | 6'2"""
Alisson,Liverpool,Brazil,Premier League,89,GK,0,normal,Mostly Lengthy,1,3,M,M,86,85,85,89,56,90,"193cm | 6'4"""
Casemiro,Manchester Utd,Brazil,Premier League,89,CDM,0,normal,Mostly Lengthy,2,3,M,H,63,75,79,73,89,88,"185cm | 6'1"""
Kenny Dalglish,EA FC ICONS,Scotland,Icons,89,ST,CF,Icon,Explosive,4,5,H,M,89,90,75,88,41,72,"173cm | 5'8"""
Javier Zanetti,EA FC ICONS,Argentina,Icons,89,RB,"RWB,LB,CM",Icon,Controlled,2,4,H,H,83,60,84,81,86,78,"178cm | 5'10"""
Alessandro Nesta,EA FC ICONS,Italy,Icons,89,CB,0,Icon,Mostly Lengthy,2,3,M,H,76,44,63,68,92,84,"187cm | 6'2"""
Hugo Sánchez,EA FC ICONS,Mexico,Icons,89,ST,CF,Icon,Mostly Explosive,3,4,H,M,89,90,78,88,41,72,"176cm | 5'9"""
Alan Shearer,EA FC ICONS,England,Icons,89,ST,CF,Icon,Controlled Lengthy,3,3,H,M,82,91,76,78,49,84,"182cm | 6'0"""
Kaká,EA FC ICONS,Brazil,Icons,89,CAM,0,Icon,Controlled,5,4,H,M,89,84,86,90,43,71,"186cm | 6'1"""
Samuel Eto'o,EA FC ICONS,Cameroon,Icons,89,ST,CF,Icon,Controlled Explosive,4,4,H,L,92,90,79,87,45,80,"179cm | 5'10"""
Didier Drogba,EA FC ICONS,Côte d'Ivoire,Icons,89,ST,CF,Icon,Lengthy,4,4,H,H,87,90,74,80,44,87,"189cm | 6'2"""
Ruud van Nistelrooy,EA FC ICONS,Holland,Icons,89,ST,CF,Icon,Controlled Lengthy,3,3,H,L,84,89,71,83,38,80,"188cm | 6'2"""
Éric Cantona,EA FC ICONS,France,Icons,89,CF,ST,Icon,Controlled Lengthy,5,4,H,M,86,89,86,89,50,88,"188cm | 6'2"""
Sócrates,EA FC ICONS,Brazil,Icons,89,CAM,0,Icon,Controlled,4,5,H,M,82,88,89,88,43,82,"192cm | 6'4"""
Philipp Lahm,EA FC ICONS,Germany,Icons,89,RB,"RWB,LB,CDM",Icon,Explosive,3,3,H,H,84,68,83,83,86,70,"170cm | 5'7"""
Gary Lineker,EA FC ICONS,England,Icons,89,ST,CF,Icon,Controlled,3,4,H,L,86,89,71,84,40,75,"177cm | 5'10"""
Hristo Stoichkov,EA FC ICONS,Bulgaria,Icons,89,ST,"CF,RW,LW",Icon,Controlled Explosive,4,3,M,M,90,91,84,90,49,84,"178cm | 5'10"""
Fabio Cannavaro,EA FC ICONS,Italy,Icons,89,CB,0,Icon,Controlled,2,3,L,H,80,44,62,67,93,83,"176cm | 5'9"""
Jairzinho,EA FC ICONS,Brazil,Icons,89,RW,"RM,ST",Icon,Controlled Explosive,5,4,H,H,91,89,84,90,49,73,"173cm | 5'8"""
Carles Puyol Saforcada,EA FC ICONS,Spain,Icons,89,CB,RB,Icon,Controlled,2,3,M,H,72,46,66,59,91,88,"178cm | 5'10"""
Emilio Butragueño,EA FC ICONS,Spain,Icons,89,ST,CF,Icon,Explosive,3,5,M,L,92,89,78,90,40,65,"168cm | 5'6"""
Peter Schmeichel,EA FC ICONS,Denmark,Icons,89,GK,0,Icon,Controlled Lengthy,1,3,M,M,89,84,86,91,47,87,"193cm | 6'4"""
Luís Figo,EA FC ICONS,Portugal,Icons,89,RW,"RM,CAM",Icon,Mostly Explosive,4,4,H,L,89,84,86,90,38,77,"180cm | 5'11"""
Morientes,HERO,Spain,LALIGA EA SPORTS,89,ST,CF,Hero,Mostly Lengthy,4,4,H,M,84,90,77,83,45,86,"186cm | 6'1"""
Rudi Völler,HERO,Germany,Bundesliga,89,ST,CF,Hero,Controlled,3,4,H,M,89,90,76,86,47,85,"180cm | 5'11"""
Jean-Pierre Papin,HERO,France,Ligue 1 Uber Eats,89,ST,CF,Hero,Controlled Explosive,3,4,H,M,83,93,73,83,44,76,"176cm | 5'9"""
Abedi Pelé,HERO,Ghana,Ligue 1 Uber Eats,89,CAM,"LM,CF",Hero,Explosive,4,4,M,M,91,83,87,91,48,66,"174cm | 5'9"""
David Ginola,HERO,France,Ligue 1 Uber Eats,89,LM,"CAM,ST,LW",Hero,Controlled,5,5,H,M,90,88,87,91,55,84,"186cm | 6'1"""
Gianluca Vialli,HERO,Italy,Serie A TIM,89,ST,CF,Hero,Controlled,3,4,H,M,86,89,72,83,42,79,"180cm | 5'11"""
Jürgen Kohler,HERO,Germany,Bundesliga,89,CB,0,Hero,Mostly Lengthy,2,3,M,H,71,51,63,62,91,90,"186cm | 6'1"""
Lucimar da Silva Ferreira,HERO,Brazil,Serie A TIM,89,CB,0,Hero,Mostly Lengthy,3,3,M,H,82,72,74,77,91,89,"188cm | 6'2"""
Virgil van Dijk,Liverpool,Holland,Premier League,89,CB,0,Nike,Lengthy,2,3,M,H,78,60,71,72,89,86,"193cm | 6'4"""
Bukayo Saka,Arsenal,England,Premier League,89,RW,RM,Champions League,Mostly Explosive,4,4,H,M,90,85,83,91,63,74,"178cm | 5'10"""
Ederson,Manchester City,Brazil,Premier League,88,GK,0,normal,Mostly Lengthy,1,3,M,M,86,82,91,86,64,86,"188cm | 6'2"""
Bruno Fernandes,Manchester Utd,Portugal,Premier League,88,CAM,CM,normal,Controlled Explosive,4,3,H,H,71,86,90,83,69,77,"179cm | 5'10"""
Bernardo Silva,Manchester City,Portugal,Premier League,88,CM,RW,normal,Controlled Explosive,4,3,H,H,69,78,86,92,70,69,"173cm | 5'8"""
Federico Valverde,Real Madrid,Uruguay,LALIGA EA SPORTS,88,CM,RW,normal,Controlled,3,4,H,H,88,82,84,84,80,82,"182cm | 6'0"""
Antoine Griezmann,Atlético de Madrid,France,LALIGA EA SPORTS,88,ST,CF,normal,Mostly Explosive,4,3,H,H,80,88,87,88,58,75,"176cm | 5'9"""
Jan Oblak,Atlético de Madrid,Slovenia,LALIGA EA SPORTS,88,GK,0,normal,Controlled Lengthy,1,3,M,M,85,90,78,87,46,86,"188cm | 6'2"""
Joshua Kimmich,FC Bayern München,Germany,Bundesliga,88,CDM,"RB,CM",normal,Controlled Explosive,3,4,H,M,70,74,88,84,82,79,"177cm | 5'10"""
Victor Osimhen,Napoli FC,Nigeria,Serie A TIM,88,ST,CF,normal,Controlled Lengthy,3,4,H,M,90,86,66,83,42,82,"185cm | 6'1"""
Franck Ribéry,EA FC ICONS,France,Icons,88,LM,LW,Icon,Explosive,5,5,H,L,89,85,85,90,37,65,"170cm | 5'7"""
Riquelme,EA FC ICONS,Argentina,Icons,88,CAM,0,Icon,Controlled,5,4,M,L,71,84,90,90,33,66,"183cm | 6'0"""
Michael Laudrup,EA FC ICONS,Denmark,Icons,88,CAM,LW,Icon,Controlled,4,4,M,M,84,80,88,90,40,63,"183cm | 6'0"""
Fernando Hierro Ruiz,EA FC ICONS,Spain,Icons,88,CB,0,Icon,Mostly Lengthy,2,3,M,H,74,67,74,68,92,84,"187cm | 6'2"""
Andriy Shevchenko,EA FC ICONS,Ukraine,Icons,88,ST,"CF,RW",Icon,Controlled,3,4,H,H,86,90,71,85,35,73,"183cm | 6'0"""
Steven Gerrard,EA FC ICONS,England,Icons,88,CM,CDM,Icon,Controlled Lengthy,3,3,H,M,78,88,88,83,75,82,"183cm | 6'0"""
Ronald Koeman,EA FC ICONS,Holland,Icons,88,CB,0,Icon,Controlled Lengthy,3,3,H,M,76,86,85,78,88,84,"181cm | 5'11"""
Paul Scholes,EA FC ICONS,England,Icons,88,CM,CAM,Icon,Controlled,3,4,H,M,74,86,89,78,62,80,"171cm | 5'7"""
Wayne Rooney,EA FC ICONS,England,Icons,88,ST,"CAM,CF",Icon,Controlled,3,4,H,H,88,90,81,86,53,87,"176cm | 5'9"""
Edwin van der Sar,EA FC ICONS,Holland,Icons,88,GK,0,Icon,Controlled,1,3,M,M,84,87,79,86,39,92,"197cm | 6'6"""
Petr Cech,EA FC ICONS,Czech Republic,Icons,88,GK,0,Icon,Controlled Lengthy,1,3,M,M,86,85,76,88,54,90,"196cm | 6'5"""
Bastian Schweinsteiger,EA FC ICONS,Germany,Icons,88,CM,LM,Icon,Controlled Lengthy,3,3,H,H,76,83,86,83,83,83,"183cm | 6'0"""
Michael Owen,EA FC ICONS,England,Icons,88,ST,CF,Icon,Explosive,3,4,M,M,89,88,69,87,35,66,"173cm | 5'8"""
Rio Ferdinand,EA FC ICONS,England,Icons,88,CB,0,Icon,Lengthy,3,3,M,M,82,48,65,64,90,85,"189cm | 6'2"""
David Beckham,EA FC ICONS,England,Icons,88,RM,"CM,RW",Icon,Controlled,3,3,H,H,80,85,92,85,66,79,"182cm | 6'0"""
Pavel Nedvěd,EA FC ICONS,Czech Republic,Icons,88,LM,"CAM,LW",Icon,Controlled Explosive,4,5,H,M,84,84,86,87,58,77,"177cm | 5'10"""
Laurent Blanc,EA FC ICONS,France,Icons,88,CB,CAM,Icon,Mostly Lengthy,2,3,M,H,78,67,68,76,90,85,"192cm | 6'4"""
Patrick Vieira,EA FC ICONS,France,Icons,88,CM,0,Icon,Mostly Lengthy,3,3,M,H,82,78,80,82,88,90,"192cm | 6'4"""
Robin van Persie,EA FC ICONS,Holland,Icons,88,ST,CF,Icon,Controlled,4,4,H,L,84,91,84,87,45,73,"183cm | 6'0"""
Marcel Desailly,EA FC ICONS,France,Icons,88,CB,CDM,Icon,Mostly Lengthy,2,3,M,H,82,51,65,66,88,88,"185cm | 6'1"""
Miroslav Klose,EA FC ICONS,Germany,Icons,88,ST,CF,Icon,Controlled Lengthy,3,4,H,M,86,87,73,80,40,79,"184cm | 6'0"""
Gheorghe Hagi,EA FC ICONS,Romania,Icons,88,CAM,"CM,LM",Icon,Explosive,4,4,M,L,82,86,88,88,41,64,"172cm | 5'8"""
Jay-Jay Okocha,HERO,Nigeria,Premier League,88,CAM,"RM,ST",Hero,Explosive,5,4,M,L,87,83,83,93,40,60,"173cm | 5'8"""
Ricardo Alberto Silveira Carvalho,HERO,Portugal,Liga Portugal,88,CB,0,Hero,Controlled,2,3,L,H,77,56,71,73,91,82,"183cm | 6'0"""
Bixente Lizarazu,HERO,France,Bundesliga,88,LWB,LB,Hero,Controlled,3,3,H,H,87,59,80,82,83,82,"169cm | 5'7"""
Jari Litmanen,HERO,Finland,Eredivisie,88,CAM,CM,Hero,Controlled Explosive,3,4,H,M,82,87,83,83,35,65,"181cm | 5'11"""
Rafael Márquez,HERO,Mexico,LALIGA EA SPORTS,88,CB,CDM,Hero,Mostly Lengthy,3,3,M,H,74,65,75,74,90,88,"184cm | 6'0"""
Antonio Di Natale,HERO,Italy,Serie A TIM,88,ST,"CF,LW",Hero,Mostly Explosive,4,4,H,L,90,91,85,90,46,70,"170cm | 5'7"""
Javier Mascherano,HERO,Argentina,LALIGA EA SPORTS,88,CB,CDM,Hero,Controlled,3,3,L,H,76,55,76,75,89,86,"174cm | 5'9"""
Mario Gomez,HERO,Germany,Bundesliga,88,ST,CF,Hero,Mostly Lengthy,3,4,H,M,83,90,73,82,43,83,"189cm | 6'2"""
Paulo Jorge dos Santos Futre,HERO,Portugal,LALIGA EA SPORTS,88,LW,"LM,RW,ST",Hero,Explosive,4,3,H,L,93,81,80,93,37,58,"175cm | 5'9"""
Vincent Kompany,HERO,Belgium,Premier League,88,CB,0,Hero,Lengthy,2,3,M,H,80,60,68,70,90,86,"190cm | 6'3"""
Diego Milito,HERO,Argentina,Serie A TIM,88,ST,CF,Hero,Controlled Lengthy,3,4,H,L,83,89,75,84,43,80,"183cm | 6'0"""
Diego Forlán,HERO,Uruguay,LALIGA EA SPORTS,88,ST,"CF,LW",Hero,Controlled Explosive,4,4,H,H,86,90,79,85,55,76,"180cm | 5'11"""
Wesley Sneijder,HERO,Holland,Serie A TIM,88,CAM,"CM,LM",Hero,Controlled Explosive,4,5,M,L,81,84,90,86,53,75,"171cm | 5'7"""
Carlos Tévez,HERO,Argentina,Premier League,88,ST,CF,Hero,Controlled,4,3,H,H,85,89,80,86,46,89,"171cm | 5'7"""
Heung Min Son,Spurs,Korea Republic,Premier League,88,ST,"LM,CF,LW",IF,Controlled,4,5,H,M,88,90,82,85,43,71,"183cm | 6'0"""
Leonardo Bonucci,Union Berlin,Italy,Bundesliga,88,CB,0,Champions League,Lengthy,2,4,M,H,75,63,75,76,88,81,"190cm | 6'3"""
Edin Džeko,Fenerbahçe,Bosnia and Herzegovina,Trendyol Süper Lig,88,ST,CF,Conference League,Lengthy,3,5,H,M,77,89,75,81,46,80,"193cm | 6'4"""
Martin Ødegaard,Arsenal,Norway,Premier League,88,CM,CAM,IF,Controlled Explosive,5,2,H,M,74,83,89,88,62,65,"178cm | 5'10"""
Lautaro Martínez,Inter,Argentina,Serie A TIM,88,ST,CF,IF,Controlled,4,4,H,M,82,88,72,86,49,86,"174cm | 5'9"""
Heung Min Son,Spurs,Korea Republic,Premier League,87,LW,LM,normal,Controlled,4,5,H,M,87,88,80,84,42,70,"183cm | 6'0"""
Martin Ødegaard,Arsenal,Norway,Premier League,87,CAM,CM,normal,Controlled Explosive,5,2,H,M,72,81,88,87,61,64,"178cm | 5'10"""
Luka Modric,Real Madrid,Croatia,LALIGA EA SPORTS,87,CM,0,normal,Controlled Explosive,4,4,M,M,72,76,89,87,72,66,"172cm | 5'8"""
Frenkie de Jong,FC Barcelona,Holland,LALIGA EA SPORTS,87,CM,0,normal,Mostly Explosive,4,3,H,M,82,69,86,87,77,78,"181cm | 5'11"""
Gregor Kobel,Borussia Dortmund,Switzerland,Bundesliga,87,GK,0,normal,Controlled,1,3,M,M,86,84,74,89,44,85,"195cm | 6'5"""
Manuel Neuer,FC Bayern München,Germany,Bundesliga,87,GK,0,normal,Controlled Lengthy,1,4,M,M,84,85,90,84,49,88,"193cm | 6'4"""
Marquinhos,Paris SG,Brazil,Ligue 1 Uber Eats,87,CB,0,normal,Controlled Lengthy,3,3,M,H,78,56,75,74,89,80,"183cm | 6'0"""
Gianluigi Donnarumma,Paris SG,Italy,Ligue 1 Uber Eats,87,GK,0,normal,Controlled Lengthy,1,3,M,M,90,82,79,89,52,83,"196cm | 6'5"""
Lautaro Martínez,Inter,Argentina,Serie A TIM,87,ST,CF,normal,Controlled,4,4,H,M,80,86,71,85,48,85,"174cm | 5'9"""
Mike Maignan,Milan,France,Serie A TIM,87,GK,0,normal,Controlled Lengthy,1,4,M,M,85,82,87,89,51,85,"191cm | 6'3"""
Paulo Dybala,Roma FC,Argentina,Serie A TIM,87,ST,"CAM,CF",IF,Mostly Explosive,4,3,H,L,82,87,86,91,41,61,"177cm | 5'10"""
Ian Wright,EA FC ICONS,England,Icons,87,ST,CF,Icon,Controlled Explosive,3,4,M,M,88,89,69,81,40,76,"175cm | 5'9"""
Clarence Seedorf,EA FC ICONS,Holland,Icons,87,CAM,"RM,LM",Icon,Controlled,4,4,M,M,79,84,87,85,66,79,"176cm | 5'9"""
Michael Ballack,EA FC ICONS,Germany,Icons,87,CM,CAM,Icon,Mostly Lengthy,4,4,M,H,81,87,85,81,78,83,"188cm | 6'2"""
Fernando Torres,EA FC ICONS,Spain,Icons,87,ST,CF,Icon,Controlled,4,4,H,M,89,87,75,85,43,75,"186cm | 6'1"""
Davor Šuker,EA FC ICONS,Croatia,Icons,87,ST,CF,Icon,Controlled,4,4,H,M,83,89,79,88,43,75,"183cm | 6'0"""
Patrick Kluivert,EA FC ICONS,Holland,Icons,87,ST,CF,Icon,Controlled Lengthy,4,4,H,L,84,86,76,81,40,79,"188cm | 6'2"""
Claude Makélélé,EA FC ICONS,France,Icons,87,CDM,"RM,CM",Icon,Controlled,3,3,L,H,81,48,76,78,86,86,"174cm | 5'9"""
John Barnes,EA FC ICONS,England,Icons,87,LW,"LM,CAM",Icon,Controlled,4,4,H,M,89,85,83,89,44,83,"182cm | 6'0"""
Frank Lampard,EA FC ICONS,England,Icons,87,CM,"CDM,CAM",Icon,Controlled Lengthy,3,4,H,M,77,88,86,84,71,80,"184cm | 6'0"""
David Trezeguet,EA FC ICONS,France,Icons,87,ST,CF,Icon,Controlled Lengthy,4,4,M,L,82,88,67,79,42,77,"187cm | 6'2"""
Ian Rush,EA FC ICONS,Wales,Icons,87,ST,CF,Icon,Controlled,3,4,H,M,84,89,69,83,43,78,"180cm | 5'11"""
Gianfranco Zola,EA FC ICONS,Italy,Icons,87,CF,ST,Icon,Explosive,4,4,H,M,85,88,85,89,41,63,"168cm | 5'6"""
Robert Pirès,EA FC ICONS,France,Icons,87,LM,"RM,CAM,LW",Icon,Controlled,4,4,M,M,86,79,84,86,38,64,"187cm | 6'2"""
Frank Rijkaard,EA FC ICONS,Holland,Icons,87,CDM,"CB,CM",Icon,Mostly Lengthy,3,4,M,M,77,73,80,77,87,86,"187cm | 6'2"""
Nemanja Vidić,EA FC ICONS,Serbia,Icons,87,CB,0,Icon,Lengthy,2,3,M,H,78,48,62,62,90,89,"190cm | 6'3"""
Xabi Alonso,EA FC ICONS,Spain,Icons,87,CDM,CM,Icon,Mostly Lengthy,3,4,H,H,71,77,86,78,82,80,"183cm | 6'0"""
Emmanuel Petit,EA FC ICONS,France,Icons,87,CDM,"LB,CM",Icon,Controlled Lengthy,3,3,H,H,77,77,79,76,85,87,"185cm | 6'1"""
Joe Cole,HERO,England,Premier League,87,RW,"RM,CAM,LW",Hero,Mostly Explosive,4,4,H,M,88,84,86,90,51,72,"176cm | 5'9"""
Rui Manuel César Costa,HERO,Portugal,Serie A TIM,87,CAM,0,Hero,Controlled Explosive,4,4,M,M,83,80,87,85,43,76,"180cm | 5'11"""
Iván Córdoba,HERO,Colombia,Serie A TIM,87,CB,0,Hero,Controlled,2,3,L,H,86,63,65,68,90,87,"173cm | 5'8"""
Yaya Touré,HERO,Côte d'Ivoire,Premier League,87,CDM,"CM,CAM",Hero,Mostly Lengthy,4,4,M,M,78,83,86,84,80,89,"188cm | 6'2"""
Dimitar Berbatov,HERO,Bulgaria,Premier League,87,ST,CF,Hero,Controlled,4,3,M,L,80,85,81,87,34,74,"189cm | 6'2"""
Claudio Marchisio,HERO,Italy,Serie A TIM,87,CM,"CDM,LM",Hero,Controlled,4,4,H,H,82,81,85,86,80,82,"180cm | 5'11"""
Jorge Campos,HERO,Mexico,MLS,87,GK,0,Hero,Explosive,3,4,M,M,93,83,81,90,84,80,"170cm | 5'7"""
Hidetoshi Nakata,HERO,Japan,Serie A TIM,87,CAM,CM,Hero,Mostly Explosive,4,4,M,M,85,84,85,86,62,65,"175cm | 5'9"""
Tomas Brolin,HERO,Sweden,Serie A TIM,87,ST,"CAM,CF,RW",Hero,Mostly Explosive,4,3,H,H,87,88,83,90,59,69,"176cm | 5'9"""
Harry Kewell,HERO,Australia,Premier League,87,LW,"LM,CAM",Hero,Mostly Explosive,4,3,M,M,90,85,88,88,52,69,"180cm | 5'11"""
Steve McManaman,HERO,England,Premier League,87,RM,"LM,CAM,RW",Hero,Controlled,4,4,H,M,89,77,84,87,46,77,"183cm | 6'0"""
